folder,source_file,title,sections_total,sections_with_first_data,first_total,first_correct,first_wrong,first_rate,first_avg_section_rate,sections_with_second_data,second_total,second_correct,second_wrong,second_rate
c:\Users\34406\Documents\Obsidian Vault\数据分析\分析结果\01_张宇1000题,01_张宇1000题.csv,张宇1000题 习题册正确率记录,19,3,542,434,108,0.8007380073800738,0.8646616541353384,0,0,0,0,
c:\Users\34406\Documents\Obsidian Vault\数据分析\分析结果\02_王道操作系统,02_王道操作系统.csv,王道操作系统 课后习题正确率记录,18,10,361,274,87,0.7590027700831025,0.7474675532750514,0,0,0,0,
c:\Users\34406\Documents\Obsidian Vault\数据分析\分析结果\03_王道计组,03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,28,27,593,438,155,0.7386172006745363,0.7656642235618272,0,0,0,0,
c:\Users\34406\Documents\Obsidian Vault\数据分析\分析结果\04_王道数据结构,04_王道数据结构.csv,王道数据结构 课后习题正确率记录,32,0,0,0,0,,,0,0,0,0,
c:\Users\34406\Documents\Obsidian Vault\数据分析\分析结果\05_王道计网,05_王道计网.csv,王道计算机网络 课后习题正确率记录,28,0,0,0,0,,,0,0,0,0,
